Nom,Page Actuelle,Rythme,Cycles Finis
ABLA,509,15,2
ELEL,135,15,2
ISRE,513,13,2
MKAI,290,10,1
SOCH,1,13,1
SOMO,315,10,1
TADA,54,10,1
YAEL,188,20,3
ZAHO,320,10,1
